"Payment ID","Created At","Customer ID","Customer Name","Customer Email","Billing Country","Amount","Tax","Currency","Settlement Amount","Settlement Tax","Settlement Currency","Payment Method","Payment Method Type","Payment Status","Payment Fee","Net Amount In Wallet After Fees","Metadata"
"pay_BKzyQ6IHGwpQSGPyoLkyx","2025-06-16 14:26:13.052019","cus_OjW15cK0BixF7pdHL0lna","Nitin","nitinbansal85.v2.1@gmail.com","IN",1717.24,261.95,"INR",1717.24,261.95,"INR","card",NULL,"succeeded",72.69,59330.18,"{}"
"pay_prFr6lR83TnvovLwkBNFH","2025-06-16 14:17:33.158821","cus_OjW15cK0BixF7pdHL0lna","Nitin","nitinbansal85.v2.1@gmail.com","IN",1717.24,261.95,"INR",1717.24,261.95,"INR","card",NULL,"succeeded",72.69,57947.58,"{}"
"pay_6PWukSmCvYOEDNggpyd0d","2025-06-16 14:12:16.395396","cus_KAQJAVfMmXYvymIpMmSOK","Nitin","nitin1@gmail.com","IN",1717.24,261.95,"INR",1717.24,261.95,"INR","card",NULL,"succeeded",72.69,56564.98,"{}"
"pay_IrRHWVbcDonOKAkAPwsk2","2025-06-16 07:30:14.032215","cus_ZS0PQU1LIYdVUNAGB51mU","Nitin2","nitin2@gmail.com","IN",1719.86,262.35,"INR",1719.86,262.35,"INR","upi","upi_collect","succeeded",72.8,55182.38,"{}"
"pay_0rW0qhCjA7lJQ38XqvzJz","2025-06-15 15:54:39.073507","cus_KAQJAVfMmXYvymIpMmSOK","Nitin","nitin1@gmail.com","IN",1719.69,262.33,"INR",1719.69,262.33,"INR","upi","upi_collect","succeeded",72.79,53797.67,"{}"
"pay_jiFZiOPp3NJ65DEX5Vkec","2025-06-15 15:00:28.662981","cus_KAQJAVfMmXYvymIpMmSOK","Nitin","nitin1@gmail.com","IN",1719.69,262.33,"INR",1719.69,262.33,"INR","upi","upi_collect","succeeded",72.79,52413.1,"{}"
"pay_7kpLlu7LPKf6QqUcIxAml","2025-06-15 14:43:46.976704","cus_fAYLzn7iPTalJs32X9PJt","Nitin","nitin4@gmail.com","IN",1719.69,262.33,"INR",1719.69,262.33,"INR","upi","upi_collect","succeeded",72.79,51028.53,"{}"
"pay_31GHfNgxXbAR7rNEkLTux","2025-06-15 14:41:20.832862","cus_aEXHeDaOw3uMDzT3sgGko","Nitin","nitin3@gmail.com","IN",1719.69,262.33,"INR",1719.69,262.33,"INR","upi","upi_collect","succeeded",72.79,49643.96,"{}"
"pay_wLnybo60uUgy2aNThGgFd","2025-06-15 13:07:36.011291","cus_KAQJAVfMmXYvymIpMmSOK","Nitin","nitin1@gmail.com","IN",1719.69,262.33,"INR",1719.69,262.33,"INR","card",NULL,"succeeded",72.79,48259.39,"{}"
"pay_pZEHCsPxv0DFtiqwMOPHI","2025-06-15 12:55:28.997151","cus_fAYLzn7iPTalJs32X9PJt","Nitin","nitin4@gmail.com","IN",1719.69,262.33,"INR",1719.69,262.33,"INR","card",NULL,"succeeded",72.79,46874.82,"{}"
"pay_MVAQyLYTjgPst7DraE7fk","2025-06-15 12:35:12.575674","cus_aEXHeDaOw3uMDzT3sgGko","Nitin","nitin3@gmail.com","IN",1719.69,262.33,"INR",1719.69,262.33,"INR","upi","upi_collect","succeeded",72.79,45490.25,"{}"
"pay_TgTWRo0GgqNFNIFf4nPKC","2025-06-15 12:11:15.274416","cus_KAQJAVfMmXYvymIpMmSOK","Nitin","nitin1@gmail.com","IN",1719.69,262.33,"INR",1719.69,262.33,"INR","upi","upi_collect","succeeded",72.79,44105.68,"{}"
"pay_YqA9MMQTtZR5TunV2n4HZ","2025-06-15 12:02:20.152348","cus_KAQJAVfMmXYvymIpMmSOK","Nitin","nitin1@gmail.com","IN",1719.69,262.33,"INR",1719.69,262.33,"INR","upi","upi_collect","succeeded",72.79,42721.11,"{}"
"pay_njZokelTlg8tcQkqnSt89","2025-06-15 11:53:29.536205","cus_ZS0PQU1LIYdVUNAGB51mU","Nitin2","nitin2@gmail.com","IN",1719.69,262.33,"INR",1719.69,262.33,"INR","upi","upi_collect","succeeded",72.79,41336.54,"{}"
"pay_l78XZV32SLWtyGGLF2Us6","2025-06-15 11:49:07.420310","cus_KAQJAVfMmXYvymIpMmSOK","Nitin","nitin1@gmail.com","IN",1719.69,262.33,"INR",1719.69,262.33,"INR","upi","upi_collect","succeeded",72.79,39951.97,"{}"
"pay_VWylMweLm9SvbfSMzWT8X","2025-06-11 18:19:33.041119","cus_fAYLzn7iPTalJs32X9PJt","Nitin","nitin4@gmail.com","IN",1708.01,260.54,"INR",1708.01,260.54,"INR","upi","upi_collect","succeeded",72.33,38567.4,"{}"
"pay_ApNF2KDMjKsBnSXqMxVIH","2025-06-11 12:51:19.622010","cus_aEXHeDaOw3uMDzT3sgGko","Nitin","nitin3@gmail.com","IN",1709.38,260.75,"INR",1709.38,260.75,"INR","upi","upi_collect","succeeded",72.38,37192.26,"{}"
